nom,snmpcontact,dns,iosv,ip,modele,marque
FH Aquitanis-Dauguet,DGINSI,,50650-01-11,172.20.251.202,PipingHot Networks Limited,PipingHot Networks Limited,
FH Dauguet-Aquitanis,DGINSI,,50650-01-11,172.20.251.203,PipingHot Networks Limited,PipingHot Networks Limited,
Salle Jean Dauguet,DGINSI,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.81,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Espace Saint Rémi,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.27,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Annexe Bacalan,,,07.3.00fT7f1 Compiled on May 10 2013 at 16:48:26 labeled as FCXS07300f,172.20.251.85,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Annexe-Bdx-Centre-1,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.20,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Museum-Réserves Schinazi,,,08.0.10T311 Compiled on Jan  7 2014 at 08:39:54 labeled as ICX64S08010,172.20.251.87,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-CONDORCET-ELE,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.25.40.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Rohan-Central-Nord-POE,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.75,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Gymnase Virginia,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.130.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MDP-Benauge,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.15.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Archives-1,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.76,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Archives-2,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.77,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RPA-DUBOURDIEU,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.127.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Mat-Pressense,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.9,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
GSC-MONTGOLFIER-ELE,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.25.41.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-CVPU,,,08.0.10gT7f1 Compiled on Dec 17 2014 at 18:25:28 labeled as FCXS08010g,192.168.25.150,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Sousa-Mendes,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.101,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Elementaire Albert Barraud,,,,172.25.21.221,Unknown,Unknown,
SW-GSC-Benauge-54-Bas2,,,,172.25.54.221,Unknown,Unknown,
SW-GSC-Benauge-1er,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2211P06",172.25.54.222,H3C S3100-26TP-EI,H3C,
Musee-Arts-Decos,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.56,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
CMS-Nuits-Bastide pôle senior,,,08.0.00T311 Compiled on Apr 26 2013 at 20:18:53 labeled as ICX64S08000,172.20.205.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Gele-de-francony,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.240.220, 33200 Bordeaux,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc."
Propreté Dandicolle,,,,172.20.176.220,ERS 4524GT-PWR,Synoptics,
Video-C24-A-Anatole France,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.174,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C1-A-Cheverus,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.151,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C2-A,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.152,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C3-A,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.153,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité-Municipale - SR08-6E,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.68,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
AH-CMU7-O1,admin@aerohive.com,,,192.168.26.20,HiveAP 20,Aerohive,
Video-C16-A,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.166,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C10-A,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.160,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C20-B,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.170,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C23-B,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.173,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C11-B,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.161,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
AH-CMU7-E1,admin@aerohive.com,,,192.168.26.10,HiveAP 20,Aerohive,
AH-CMU7-E2,admin@aerohive.com,,,192.168.26.11,HiveAP 20,Aerohive,
AH-CMU7-O5,admin@aerohive.com,,,192.168.26.32,HiveAP 20,Aerohive,
AH-CMU7-O6,admin@aerohive.com,,,192.168.26.33,HiveAP 20,Aerohive,
Video-C7-B,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.157,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C4-B,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.154,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C5-B,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.155,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C8-B,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.158,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C9-B,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.159,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C12-C-J.Moulin,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.162,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RPA-Lumineuse,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.58,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
ST-Augustin-SS-Mediathèque,,,,172.20.251.223,Synoptics,Synoptics,
UPS PTM,SOCOMEC SICON Technical Support,,,10.240.2.5,Socomec Sicon Ups,Socomec Sicon Ups,
SW-DMZ-MDK,,,08.0.01aT7f1 Compiled on Oct 09 2013 at 20:59:10 labeled as FCXS08001a,192.168.3.94,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-DMZ-HDV,,,08.0.01aT7f1 Compiled on Oct 09 2013 at 20:59:10 labeled as FCXS08001a,192.168.3.93,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RPA-Achard,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.126.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Annexe-Nuits,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.219.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW RPA Jardin Public,,,,172.20.125.220,Synoptics,Synoptics,
UPS1 Datacenter HdV1,Socomec UPS Technical Support,ups-mbx-hdv-11.mbx.fr,,172.20.103.230,Socomec Sicon Ups,Socomec Sicon Ups,
SW-LA-DUNE,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.210.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C13-C-Sarrailh,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.163,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C14-C-Victoire,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.164,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Mat sous-sol A.France,,,,172.20.251.144,Synoptics,Synoptics,
Video-C22-C-V.Hugo,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.172,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C17-C-Saint Michel,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.167,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C21-C-Gare Saint Jean,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.171,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Albert-Thomas,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.25.50.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C18-C,DGNSI - RESEAU,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,192.168.25.168,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Video-C19-C,,,08.0.10gT311 Compiled on Dec 17 2014 at 17:45:46 labeled as ICX64S08010g,192.168.25.169,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Router-SFR-HDV,,221.30.64.86.rev.sfr.net,"15.3(2)S2, RELEASE SOFTWARE (fc1)",86.64.30.221,Cisco ASR 1001 Router,Cisco,
Router-SFR-MDK,,220.30.64.86.rev.sfr.net,"15.3(2)S2, RELEASE SOFTWARE (fc1)",86.64.30.220,Cisco ASR 1001 Router,Cisco,
Annexe Canteloup,,,,172.20.139.220,Synoptics,Synoptics,
SW_Elementaire_HenriIV,,,08.0.01T311 Compiled on Sep 26 2013 at 12:09:46 labeled as ICX64S08001,172.20.251.91,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PTM-R+1-1,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.92,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-ELE-SOMME,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.25.61.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-A-DUPEUX-SALLEINFO,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.25.51.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-GSC-Vieux-Bdx-23,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.7,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PAUL-ANTIN,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.25.61.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Halles-Des-Douves,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.20.162.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-ELE-CAZEMAJOR,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.25.80.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Minimettes,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.20.251.18,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Stade Charles Martin,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.20.195.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Centre culturel des Aubiers,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.20.129.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Annexe Saint Augustin-SS,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
DMZ-BIB-MDK-CUB,DGINSI,,,192.168.3.96,ERS 5520-24T-PWR,Synoptics,
SW-CAZEMAJOR-SALLEINFO,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.25.80.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
NUYENS Mat borne rés. 3,,,,172.25.68.104,Unknown,Unknown,
Piscine Judaique,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.179.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-CONDORCET-MAT,,,08.0.10kT311 Compiled on May  7 2015 at 15:39:34 labeled as ICX64S08010k,172.25.40.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
ILO-ORION,,ilo-s-orion2.mbx.fr,6.3 (Build 9600 Multiprocessor Free),172.20.106.184,Windows 2012 R2 Server,Windows,
MBA-Aile-Nord,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.161,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MBA-Aile-Sud,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.162,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-Central,,,08.0.30dT211 Compiled on Nov  3 2015 at 21:50:36 labeled as SPS08030d,172.20.251.213,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-Central-Nord,,,08.0.30dT211 Compiled on Nov  3 2015 at 21:50:36 labeled as SPS08030d,172.20.251.214,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
ICX-FabricDatacenter-HDC,,,08.0.10hT311 Compiled on Feb  5 2015 at 16:11:46 labeled as ICX64S08010h,172.17.245.150,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
ICX-Fabric Datacenter-Rohan,,,08.0.10hT311 Compiled on Feb  5 2015 at 16:11:46 labeled as ICX64S08010h,172.17.245.100,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SOLFERINO Mat,,,08.0.30dT311 Compiled on Nov  3 2015 at 21:43:36 labeled as ICX64S08030d,172.25.34.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Haillan-Elagage,,,08.0.30dT311 Compiled on Nov  3 2015 at 21:43:36 labeled as ICX64S08030d,172.20.251.228,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Annexe-Bdx-Centre-2,,,07.4.00fT311 Compiled on Apr 21 2014 at 03:27:28 labeled as ICX64S07400f,172.20.251.23,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDV-DC_RB11,DGNSI,,,172.17.245.11,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDV-DC_RB12,DGNSI,,,172.17.245.12,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
BM-DC_RB51,DGNSI,,,172.17.245.51,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
BM-DC_RB52,DGNSI,,,172.17.245.52,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
MUSEE-AQUITAINE-SS,servInfo,,08.0.30kT211 Compiled on Oct 18 2016 at 05:40:38 labeled as SPS08030k,172.20.251.82,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-REPOS-Maternelle-Clairiere,,,08.0.30kT313 Compiled on Oct 18 2016 at 05:30:11 labeled as ICX64R08030k,172.20.144.222,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RPA-Buchou,,,08.0.20T311 Compiled on Sep 30 2014 at 02:39:29 labeled as ICX64S08020,172.20.128.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PTM-R+4-0,,,08.0.30pT211 Compiled on Aug 31 2017 at 02:18:33 labeled as SPS08030p,172.20.251.109,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PALAIS-SPORT-LUMIERE,,,08.0.30dT311 Compiled on Nov  3 2015 at 21:43:36 labeled as ICX64S08030d,172.20.251.26,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
CAPC-1-2,,,08.0.30aT211 Compiled on Apr 22 2015 at 15:37:35 labeled as SPS08030a,172.20.251.139,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Palais des sports-WIFI-Gradin,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.251.164,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PALAIS-SPORT-TGBT,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.251.165,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Pointeuse-PTM-Modulaire,,,,172.20.31.245,Unknown,Unknown,
PTM-Algeco-B,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.146,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
AH-PTM-Algeco-1,,,,192.168.24.90,Unknown,Unknown,
AH-PTM-Algeco-2,,,,192.168.24.91,Unknown,Unknown,
CMU-SR10-8E-temp,,,07.4.00fT311 Compiled on Apr 21 2014 at 03:27:28 labeled as ICX64S07400f,172.20.251.73,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Matteotti,,,08.0.30kT211 Compiled on Oct 18 2016 at 05:40:38 labeled as SPS08030k,172.20.251.110,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HAILLAN-ESPACE-VERT,,,08.0.30fT211 Compiled on Jan 26 2016 at 22:09:49 labeled as SPS08030f,172.20.251.225,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-AUTOCOM-BIB,,,,172.20.251.177,Synoptics,Synoptics,
HDM-SS-STACK,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.180,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDM-ETG2-SUD-BatBas,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.183,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDM-ETG2-NORD-BatBas,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.184,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDM-RDCSUD-Batbas,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.182,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
PTM-Latule-Poste-Ess,,,08.0.10hT311 Compiled on Feb  5 2015 at 16:11:46 labeled as ICX64S08010h,172.20.251.90,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Pointeuse-Gaspart Philippe,,,,172.20.208.246,Unknown,Unknown,
HDM-ETG1-Tour Haute,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.185,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDM-ETG3-TOURHAUTE,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.186,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDM-RDCNORD-BatBas,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.181,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Bib-Tauzin,,,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.23.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Haillan-Bungalow,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.251.227,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Haillan-Peintre,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.251.226,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
ELE-BALGUERIE-2,,,,172.25.16.222,Unknown,Unknown,
SW-MAT-Josephine-Algeco-44,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2211P06",172.25.15.221,H3C S3100-26TP-EI,H3C,
Maternelle Saint Bruno,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.251.131,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Elémentaire Saint Bruno,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.251.132,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HdV-AileNord-BaieGauche,,,08.0.30fT211 Compiled on Jan 26 2016 at 22:09:49 labeled as SPS08030f,172.20.251.215,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
LOUP-61-SS,,ptb-00710.mbx.fr,,172.20.251.55,Synoptics,Synoptics,
MBA-Galerie Sud,DGINSI,,,172.20.251.153,Synoptics,Synoptics,
VIDEO-CIC Police Nationale,,,08.0.10hT311 Compiled on Feb  5 2015 at 16:11:46 labeled as ICX64S08010h,192.168.25.175,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
TPE_Jardin_Botanique,,,,10.58.161.129,Unknown,Unknown,
Club Senior Quintin,,,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.243.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Cité du Vin,,,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.79,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDM-Deploiement,,,08.0.00aT311 Compiled on Jun 22 2013 at 17:50:58 labeled as ICX64S08000a,172.20.251.191,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
HDM-ETG1-Tour Basse-DIP-Deploiement,,,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.57,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Hotel_1_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.30.10.11,Catalyst 356048 PS,Cisco,
CCAS_Delussy,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.136.222,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Haillan-Serres,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.251.224,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
LA-DUNE-Bat-Central-GTB,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.210.221,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
La-DUNE-Cuisine,,,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.210.222,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RPA_Saint Augustin,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.20.244.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
CAPC1-1,,,08.0.30fT211 Compiled on Jan 26 2016 at 22:09:49 labeled as SPS08030f,172.20.251.231,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
S-DC01,,s-dc01.mbx.fr,6.1 (Build 7601 Multiprocessor Free),172.20.103.170,Windows 2008 R2 Server,Windows,
VM-AD-MBX1,,vm-ad-mbx1.mbx.fr,6.3 (Build 9600 Multiprocessor Free),172.20.99.221,Windows 2012 R2 Server,Windows,
Begles_Principal_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.6.10.11,Catalyst 356048 PS,Cisco,
Begles_LTB_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.6.10.12,Catalyst 356048 PS,Cisco,
Begles_LTC_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.6.10.13,Catalyst 356048 PS,Cisco,
Begles_LTE_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.6.10.14,Catalyst 356024 PS,Cisco,
Begles_LTB_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.6.10.15,Catalyst 356048 PS,Cisco,
Begles_Principal_12.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.6.10.16,WS-C3560V2-24PS,Cisco,
Begles_LTD_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.6.10.17,Catalyst 356024 PS,Cisco,
Begles_Principal_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.6.254.8,Catalyst 37xx Stack,Cisco,
Circ1_LTA_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.11.10.11,Catalyst 356048 PS,Cisco,
Circ1_LTB_11.rzo-cub,,,"12.2(52)SE, RELEASE SOFTWARE (fc3)",10.11.10.12,Catalyst 356024 PS,Cisco,
CGEP1_LTA_TP.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.11.254.8,Catalyst 37xx Stack,Cisco,
Tour_2000_6_11.rzo-cub,,,"12.2(55)SE9, RELEASE SOFTWARE (fc1)",10.4.10.61,Catalyst 356048 PS,Cisco,
